"DateTime","grid (26) (kw)","grid (27) (kw)","grid (43) (kw)","grid (59) (kw)","grid (77) (kw)","grid (86) (kw)","grid (93) (kw)","grid (94) (kw)","grid (101) (kw)","grid (114) (kw)","grid (142) (kw)","grid (145) (kw)","grid (153) (kw)","grid (171) (kw)"
"2019-05-01 10:45:00",-0.686,-3.52,-1.148,4.949,7.841,3.554,-0.895,0.504,0.717,-0.61,-0.997,0.28,-0.698,-1.084
"2019-05-01 11:00:00",-1.212,-3.698,-1.222,3.513,7.713,1.718,-0.991,0.647,0.14,-0.655,-1.607,0.345,-0.082,-1.258
"2019-05-01 11:15:00",-1.324,-2.788,-1.216,3.284,7.716,0.355,-0.753,0.617,0.624,-0.69,-1.853,0.378,-0.262,-1.44
"2019-05-01 11:30:00",-0.746,-3.858,-2.401,4.509,8.003,0.354,-0.757,0.776,0.137,-0.298,-2.285,0.312,-0.384,-0.876
"2019-05-01 11:45:00",-0.974,-4.877,-3.053,2.831,7.675,0.354,-1.981,1.114,0.682,-0.633,-1.914,0.344,-0.668,-1.244
"2019-05-01 12:00:00",-1.41,-5.817,-1.284,3.063,7.497,0.355,-1.189,0.652,0.228,-0.886,-3.274,0.395,-1.101,-1.766
"2019-05-01 12:15:00",-1.914,-7.656,-1.865,3.104,7.304,0.438,-0.859,0.572,0.688,-1.044,-3.577,0.274,-1.635,-2.024
"2019-05-01 12:30:00",-1.272,-9.957,-1.354,2.776,7.744,0.457,-0.5,0.623,0.382,-0.591,-3.747,0.401,2.073,-0.748
"2019-05-01 12:45:00",-1.81,-10.6,-2.659,1.435,2.593,0.445,-0.153,0.594,0.399,-1.088,-3.801,0.348,-0.972,-1.31
"2019-05-01 13:00:00",-1.209,-10.582,-3.336,1.095,0.078,0.441,-0.706,0.604,0.656,-0.837,-3.774,0.309,1.526,-1.397
"2019-05-01 13:15:00",-1.955,-10.129,-3.253,0.959,-0.251,0.442,-2.155,0.537,0.338,-1.274,-3.647,0.748,-1.523,-1.753
"2019-05-01 13:30:00",-1.33,-9.17,-3.871,1.027,0.985,0.442,-1.299,0.466,0.753,-0.777,-3.648,0.409,1.241,-0.59
"2019-05-01 13:45:00",-0.957,-5.751,-3.684,0.883,0.91,0.446,-0.737,0.252,0.167,-0.601,-3.116,0.373,-0.803,-0.702
"2019-05-01 14:00:00",-1.043,-7.786,-3.472,0.889,0.669,0.668,-0.753,0.29,1.363,-0.603,-2.263,0.288,0.986,-0.574
"2019-05-01 14:15:00",-0.283,-5.065,-1.998,0.839,1.865,0.769,-0.365,0.251,0.849,-0.066,-0.74,0.761,0.414,1.311
"2019-05-01 14:30:00",-0.04,-3.296,-2.094,0.794,2.12,0.379,0.017,0.412,0.316,0.128,-0.648,1.378,-0.054,-0.131
"2019-05-01 14:45:00",-0.324,-0.244,-3.132,1.084,1.455,0.499,-0.377,0.352,0.762,-0.133,-0.856,0.72,2.414,0.282
"2019-05-01 15:00:00",-1.785,-1.53,-3.105,1.582,0.373,0.517,-1.284,0.377,0.304,-1.158,-0.907,0.377,-1.381,0.45
"2019-05-01 15:15:00",-1.935,-3.248,-3.278,1.195,1.2,0.506,-1.081,0.338,0.661,-1.084,-0.856,0.215,-0.239,0.269
"2019-05-01 15:30:00",-0.846,-3.646,-1.361,1.27,2.087,1.852,-0.134,0.312,0.884,-0.477,-0.352,0.192,-0.812,1.389
"2019-05-01 15:45:00",-1.175,-2.949,-0.206,1.262,0.408,3.499,-0.24,0.244,0.15,-0.648,-0.163,0.059,-1.152,1.089
"2019-05-01 16:00:00",-0.289,-2.135,0.025,1.283,3.757,3.489,-1.412,0.278,0.765,-0.24,0.128,0.075,-0.34,2.241
"2019-05-01 16:15:00",-0.426,-1.552,0.314,1.367,2.471,3.539,-0.004,0.245,0.625,-0.501,0.281,0.167,0.45,1.359
"2019-05-01 16:30:00",3.2,-1.427,0.237,1.259,3.756,3.459,-0.113,0.521,0.333,-0.136,0.309,0.088,1.676,2.257
"2019-05-01 16:45:00",3.543,-1.029,0.611,1.293,3.33,2.152,-0.231,0.533,0.839,0.098,0.375,0.059,1.424,2.746
"2019-05-01 17:00:00",3.261,-0.762,0.778,1.493,4.15,3.136,0.219,0.305,0.712,0.066,0.458,0.346,1.108,2.489
"2019-05-01 17:15:00",2.515,-0.314,0.718,1.086,3.768,1.119,0.026,0.435,0.25,-0.119,0.629,1.318,0.695,1.643
"2019-05-01 17:30:00",0.623,-0.13,0.833,1.105,4.247,4.482,0.019,0.451,0.807,-0.032,0.742,1.032,0.388,2.373
"2019-05-01 17:45:00",-0.568,0.252,0.707,1.244,3.567,2.741,-0.066,0.48,0.976,1.764,0.88,0.662,1.759,0.262
"2019-05-01 18:00:00",0.084,0.717,0.709,0.959,4.145,3.814,-0.113,0.439,0.389,1.192,0.794,0.37,0.633,2.24
"2019-05-01 18:15:00",0.13,0.552,0.753,1.149,4.012,0.878,0.057,0.409,0.649,1.114,0.809,0.398,-0.118,1.809
"2019-05-01 18:30:00",0.108,0.608,0.8,0.947,3.987,0.719,0.041,1.033,0.857,1.452,1.081,0.388,2.552,1.91
"2019-05-01 18:45:00",0.275,1.246,0.814,0.91,4.235,0.756,0.039,0.406,0.633,1.61,1.058,0.537,0.221,1.681
"2019-05-01 19:00:00",0.231,0.697,0.883,0.914,4.351,0.756,0.308,0.417,0.632,2.68,0.917,0.51,0.05,1.851
"2019-05-01 19:15:00",2.279,1.001,0.928,1.091,4.605,3.286,0.372,0.824,1.306,2.018,1.075,0.477,2.979,2.076
"2019-05-01 19:30:00",1.9,0.677,0.991,1.04,2.839,0.675,0.408,1.872,0.83,2.82,1.162,0.373,0.268,2.624
"2019-05-01 19:45:00",4.24,1.143,0.936,1.067,4.145,2.542,0.567,1.951,1.42,2.889,1.263,0.363,0.146,1.815
"2019-05-01 20:00:00",5.032,0.701,0.872,1.04,3.56,3.502,0.88,1.9,1.35,2.868,1.03,0.725,0.208,2.784
"2019-05-01 20:15:00",4.074,1.02,0.956,0.852,4.329,1.101,4.023,1.902,1.308,2.823,1.148,0.708,0.119,1.011
"2019-05-01 20:30:00",3.695,0.548,1.083,0.923,4.279,3.526,3.258,2.093,1.298,3.132,1.106,0.515,0.227,2.471
"2019-05-01 20:45:00",1.883,1.109,1.327,0.925,4.292,0.798,0.482,2.051,1.317,3.079,1.194,0.471,2.031,1.367
"2019-05-01 21:00:00",1.455,0.532,1.707,0.796,4.319,3.512,3.96,2.047,1.394,2.842,1.118,0.449,3.412,3.307
"2019-05-01 21:15:00",3.388,0.996,2.369,0.963,3.391,0.817,4.039,2.06,1.332,6.373,0.96,0.759,3.567,3.093
"2019-05-01 21:30:00",2.269,0.557,1.148,0.772,3.692,0.662,4.066,2.065,1.297,5.132,0.88,0.275,3.565,2.841
"2019-05-01 21:45:00",0.789,1.052,0.935,1.042,1.369,7.693,2.662,2.055,0.895,2.6,0.926,0.211,3.725,2.806
"2019-05-01 22:00:00",3.285,0.561,0.927,1.01,4.138,5.279,0.457,2.088,0.336,1.331,0.928,0.361,3.646,2.771
"2019-05-01 22:15:00",3.225,0.596,0.952,0.647,1.584,2.368,0.617,2.074,0.355,0.44,0.895,0.575,3.57,2.727
"2019-05-01 22:30:00",3.19,0.284,0.559,0.703,1.067,1.724,1.109,2.121,0.213,1.364,0.852,0.533,2.115,2.74
"2019-05-01 22:45:00",1.262,0.394,0.459,0.641,1.219,1.986,3.473,2.112,0.261,0.448,0.918,0.47,2.13,2.906
"2019-05-01 23:00:00",0.719,0.356,0.712,0.465,1.199,0.498,0.473,2.263,0.201,1.053,0.864,0.486,1.358,2.857
"2019-05-01 23:15:00",2.315,0.219,1.479,0.699,1.804,0.493,0.513,2.146,0.332,0.828,0.806,0.485,1.969,2.799
"2019-05-01 23:30:00",1.266,0.605,1.315,0.518,0.925,1.798,0.457,2.131,0.273,0.788,0.852,0.467,1.547,2.734
"2019-05-01 23:45:00",0.509,0.304,1.098,0.876,1.746,1.631,0.428,2.112,0.266,1.78,0.973,0.466,0.281,2.79
"2019-05-02 00:00:00",0.565,0.3,0.796,0.486,10.534,0.491,0.502,2.184,0.554,3.817,0.9,0.558,2.243,2.843
"2019-05-02 00:15:00",0.479,0.275,1.036,0.546,11.008,0.492,3.599,1.87,0.303,5.387,0.809,0.486,1.221,2.799
"2019-05-02 00:30:00",0.427,0.296,1.101,0.75,11.257,0.504,0.751,1.697,0.299,4.267,0.88,0.136,0.213,2.704
"2019-05-02 00:45:00",0.446,0.836,0.969,0.605,11.135,0.491,0.294,1.802,0.319,3.751,0.91,0.123,1.848,2.738
"2019-05-02 01:00:00",2.367,0.248,1.534,0.628,10.527,0.492,0.346,1.792,0.212,2.903,0.981,0.137,1.22,1.634
"2019-05-02 01:15:00",1.03,0.269,0.953,0.674,11.337,0.451,0.294,1.779,0.668,0.71,0.896,0.14,2.232,2.814
"2019-05-02 01:30:00",1.911,0.753,0.917,0.61,7.882,0.437,0.262,1.76,0.221,0.938,0.805,0.124,1.004,2.68
"2019-05-02 01:45:00",2.863,0.374,0.845,0.665,1.242,0.369,0.329,1.765,0.376,1.032,0.8,0.165,2.217,2.751
"2019-05-02 02:00:00",0.848,0.249,0.972,0.554,1.741,0.368,0.332,1.748,0.495,0.341,0.868,0.208,0.997,2.815
"2019-05-02 02:15:00",0.329,0.374,0.769,0.495,1.536,0.377,0.255,1.764,0.464,1.004,0.907,0.143,0.276,2.794
"2019-05-02 02:30:00",0.323,0.609,0.291,0.587,1.035,0.402,0.277,1.725,0.193,0.724,0.868,0.123,0.761,2.668
"2019-05-02 02:45:00",0.353,0.709,0.381,0.53,1.79,0.402,2.256,1.743,0.331,0.635,0.849,0.122,2.443,2.683
"2019-05-02 03:00:00",0.409,1.145,0.395,0.627,1.721,0.427,1.924,1.641,0.832,0.904,0.807,0.13,0.188,2.931
"2019-05-02 03:15:00",0.374,0.669,0.393,0.578,0.908,0.505,0.253,1.677,0.237,0.422,0.948,0.142,1.449,3.08
"2019-05-02 03:30:00",0.369,0.88,0.33,0.542,1.712,0.5,0.316,1.634,0.171,0.939,0.931,0.176,1.81,2.764
"2019-05-02 03:45:00",0.293,1.112,0.293,0.655,1.725,0.49,0.332,1.685,0.705,0.966,0.873,0.192,0.262,2.793
"2019-05-02 04:00:00",0.271,0.538,0.397,0.605,0.957,0.489,0.253,1.751,0.31,0.3,0.859,0.148,0.608,2.846
"2019-05-02 04:15:00",0.29,0.383,0.395,0.709,1.695,0.449,0.275,1.772,0.415,0.932,0.861,0.148,2.801,1.872
"2019-05-02 04:30:00",0.217,0.882,0.467,0.612,1.47,0.404,0.336,1.734,0.765,0.327,0.905,0.123,0.207,2.642
"2019-05-02 04:45:00",0.307,0.346,0.941,0.519,1.164,0.401,0.298,1.776,0.28,0.903,0.813,0.127,0.238,0.643
"2019-05-02 05:00:00",0.397,0.382,0.959,0.562,1.61,0.404,0.291,1.671,0.27,0.744,0.801,0.174,0.215,1.572
"2019-05-02 05:15:00",0.444,1.185,0.993,0.605,0.889,0.403,0.356,1.69,0.809,0.405,1.36,0.128,0.875,1.47
"2019-05-02 05:30:00",0.38,0.752,0.428,0.636,1.666,0.45,0.363,1.649,0.361,0.807,0.955,0.175,1.72,1.481
"2019-05-02 05:45:00",0.325,0.886,0.329,0.545,1.006,0.527,0.293,1.694,0.627,0.4,1.224,0.194,0.209,1.114
"2019-05-02 06:00:00",0.81,0.797,0.291,0.556,0.9,1.427,0.41,1.629,0.25,0.414,0.974,1.34,0.24,1.42
"2019-05-02 06:15:00",0.542,0.351,0.387,0.77,0.885,1.267,0.405,0.481,0.216,0.693,1.501,1.651,0.194,1.287
"2019-05-02 06:30:00",0.433,0.031,0.393,0.894,0.99,3.289,0.351,0.213,0.51,0.299,0.878,0.527,2.034,0.513
"2019-05-02 06:45:00",0.264,0.656,0.329,0.837,1.002,0.904,0.376,0.373,0.189,0.381,0.816,0.393,0.954,1.431
"2019-05-02 07:00:00",0.275,-0.213,0.215,1.545,0.953,0.777,3.667,0.303,0.111,0.277,0.909,0.424,0.272,0.925
"2019-05-02 07:15:00",0.383,-0.265,1.119,0.904,0.829,0.837,0.601,0.345,0.203,0.5,0.242,0.55,1.026,1.974
"2019-05-02 07:30:00",0.557,0.252,1.376,0.865,1.005,0.692,0.423,0.278,0.161,0.438,0.038,0.634,1.475,1.769
"2019-05-02 07:45:00",0.902,-0.618,1.384,0.881,1.073,0.696,0.478,0.324,0.295,0.709,0.08,0.613,1.526,1.38
"2019-05-02 08:00:00",1.172,-0.496,0.46,1.094,1.268,1.485,0.441,0.294,0.438,0.583,0.078,0.503,0.299,0.183
"2019-05-02 08:15:00",0.319,-0.305,0.236,1.356,2.067,2.009,0.225,0.539,0.492,0.658,1.516,0.476,0.552,0.762
"2019-05-02 08:30:00",-0.03,-0.375,0.28,1.222,1.5,2.248,0.06,0.479,0.143,0.581,1.39,0.369,2.665,1.091
"2019-05-02 08:45:00",-0.239,-0.73,0.09,1.144,2.037,2.256,-0.016,0.504,0.318,0.237,0.523,0.367,2.277,-0.413
"2019-05-02 09:00:00",-0.277,-1.118,0.175,1.199,1.499,1.986,-0.14,0.314,0.128,0.661,-0.305,3.491,3.761,-0.576
"2019-05-02 09:15:00",-0.608,-1.154,0.999,0.999,0.865,1.978,-0.343,0.335,0.341,-0.1,0.154,5.849,0.299,-0.647
"2019-05-02 09:30:00",-1.564,-0.629,0.496,1.039,0.733,2.019,-0.457,0.211,0.263,-0.616,-0.016,2.886,1.637,-0.763
"2019-05-02 09:45:00",-1.94,-1.015,-0.205,1.436,0.845,2.012,-1.039,0.267,0.242,-0.818,0.423,0.847,0.366,-0.643
"2019-05-02 10:00:00",-1.946,-2.363,0.268,1.947,0.741,1.121,-1.74,0.297,0.429,-1.117,-0.64,0.254,0.031,-0.732
"2019-05-02 10:15:00",-2.075,-2.121,-0.874,3.419,0.598,0.462,-1.896,0.363,0.324,-1.322,-0.609,0.247,-0.178,-0.991
"2019-05-02 10:30:00",-2.388,-2.586,-1.255,3.285,0.834,0.456,-1.999,0.301,0.647,-1.424,-0.196,0.168,-1.984,-1.256
"2019-05-02 10:45:00",-2.627,-3.057,-2.177,3.117,0.313,0.454,-2.29,0.349,0.144,-1.569,-0.431,0.131,-2.222,-1.631
"2019-05-02 11:00:00",-2.803,-3.363,-3.478,3.173,0.133,0.464,-2.355,0.262,0.162,-1.77,-0.944,0.178,-2.317,-1.889
"2019-05-02 11:15:00",-2.744,-2.471,-3.819,3.022,-0.182,0.466,-2.02,0.26,0.193,-1.871,-0.625,0.193,-2.526,-2.13
"2019-05-02 11:30:00",-3.109,-2.884,-3.737,2.971,-0.427,0.463,-2.367,0.206,0.574,-1.942,-0.846,0.128,-2.773,-2.504
"2019-05-02 11:45:00",-2.282,-4.394,-2.232,1.42,-0.24,0.378,-2.432,0.259,0.782,-1.473,-0.561,0.126,-1.928,-2.073
"2019-05-02 12:00:00",-1.901,-5.747,-1.908,0.854,-0.032,0.362,-1.872,0.282,0.171,-1.102,-0.951,0.145,-1.657,-1.858
"2019-05-02 12:15:00",-2.231,-4.135,-2.797,0.826,-0.365,0.362,-0.225,0.407,0.67,-1.609,-2.638,0.13,-2.074,-2.336
"2019-05-02 12:30:00",-0.982,-5.972,-3.565,0.986,0.487,0.452,0.074,0.267,0.171,-0.542,-3.06,0.122,-0.899,-1.193
"2019-05-02 12:45:00",-0.226,-6.187,-3.983,0.753,1.43,0.488,0.121,0.37,0.412,-0.215,-3.489,0.152,-0.412,-0.366
"2019-05-02 13:00:00",-0.242,-4.431,-4.142,0.73,0.957,0.47,0.112,0.334,0.735,-0.151,-3.737,0.194,-0.289,-0.497
"2019-05-02 13:15:00",-0.764,-2.655,-3.982,0.873,0.965,0.466,-1.374,0.366,0.589,-0.419,-3.311,0.132,-0.733,-0.828
"2019-05-02 13:30:00",-1.48,-6.024,-3.243,1.053,0.77,0.395,-1.142,0.314,0.528,-0.9,-3.496,0.148,-1.419,-1.353
"2019-05-02 13:45:00",-0.449,-5.727,-3.482,1.011,3.236,0.367,0.223,0.344,0.546,-0.41,-3.728,0.126,-0.614,-0.722
"2019-05-02 14:00:00",-0.408,-5.459,-1.332,1.13,3.942,0.37,0.023,0.314,0.412,-0.213,-2.594,0.121,-0.466,-0.14
"2019-05-02 14:15:00",-0.65,-7.114,-0.393,0.809,3.674,0.538,-0.062,0.364,0.718,-0.312,-2.48,0.121,-0.648,-0.83
"2019-05-02 14:30:00",-0.78,-8.256,-0.079,0.936,3.767,0.618,-0.657,0.312,0.225,-0.374,-2.337,0.18,-0.679,-0.275
"2019-05-02 14:45:00",-0.747,-7.807,0.349,0.929,3.607,0.532,-0.525,0.293,0.775,-0.458,-2.478,0.201,-0.651,-0.478
"2019-05-02 15:00:00",-0.372,-7.388,0.575,1.327,1.565,0.474,-0.392,0.218,0.793,-0.128,-2.066,0.141,-0.402,-0.532
"2019-05-02 15:15:00",-0.386,-6.918,0.724,1.058,3.583,0.41,-0.119,0.256,0.32,-0.205,-1.541,0.123,-0.363,0.662
